title,author,series,publisher,year_published,genre,votes,awards,average_rating,rating_count,review_count,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
A Book of Spirits and Thieves,['Morgan Rhodes'],(Spirits and Thieves #1),Razorbill,2015,"['Fantasy', 'Young Adult', 'Fantasy-Magic']","[569, 217, 86]",['No awards'],3.95,4502,799,1429,1780,992,220,81
The Rossetti Letter,['Christi Phillips'],(Claire Donovan #1),Pocket Books,2007,"['Historical-Historical Fiction', 'Fiction', 'Mystery', 'Cultural-Italy', 'Historical']","[316, 90, 69, 48, 42]",['No awards'],3.75,4981,486,1078,2024,1487,318,74
"The Vesuvius Club Graphic Novel (Lucifer Box,#1)","['Mark Gatiss', ' Ian Bass']",Standalone,Simon & Schuster UK,2007,"['Sequential Art-Graphic Novels', 'Sequential Art-Comics', 'LGBT', 'Humor', 'GLBT-Queer', 'Mystery']","[14, 5, 3, 3, 2, 2]",['No awards'],3.54,155,17,34,49,48,15,9
A Fistful of Charms,['Kim Harrison'],(The Hollows #4),HarperTorch,2006,"['Fantasy-Urban Fantasy', 'Fantasy', 'Fantasy-Paranormal', 'Paranormal-Vampires', 'Paranormal-Witches', 'Fantasy-Magic']","[1699, 914, 701, 497, 294, 260]",['No awards'],4.28,52267,1329,25178,18358,7417,1061,253
Dragons of the Hourglass Mage,"['Margaret Weis', ' Tracy Hickman']",(Dragonlance: The Lost Chronicles #3),Wizards of the Coast,2009,"['Fantasy', 'Dungeons and Dragons-Dragonlance', 'Fiction', 'Fantasy-High Fantasy', 'Fantasy-Dragons']","[351, 285, 40, 15, 14]",['No awards'],4.21,3789,165,1724,1289,645,102,29
Yine de Âmin,['Sinem Sal'],Standalone,April Yayıncılık,2014,['No genre'],[0],['No awards'],3.59,61,7,19,15,14,9,4
Red Dust: A Path Through China,"['Ma Jian', ' Flora Drew']",Standalone,Anchor,2001,"['Cultural-China', 'Travel', 'Nonfiction', 'Cultural-Asia', 'Biography', 'History']","[139, 88, 65, 20, 16, 15]","['Thomas Cook Travel Book Award (2002)', ' Kiriyama Prize Nominee for Nonfiction (2001)']",3.86,1865,152,534,730,444,124,33
I am Rembrandt's Daughter,['Lynn Cullen'],Standalone,Bloomsbury USA Childrens,2007,"['Historical-Historical Fiction', 'Young Adult', 'Historical', 'Fiction', 'Art', 'Romance']","[187, 84, 46, 27, 27, 23]",['No awards'],3.64,2269,173,452,822,773,175,47
The Dead of Night,['John Marsden'],(Tomorrow #2),Scholastic,1994,"['Young Adult', 'Fiction', 'War']","[577, 219, 153]","[""Canberra's Own Outstanding List (COOL) Awards for Section 3 Fiction for Older Readers (1998)""]",4.14,19900,685,7382,8473,3508,453,84
Hanami,['Fenny Wong'],Standalone,Gagas Media,2012,"['Romance', 'Asian Literature-Indonesian Literature', 'Novels', 'Young Adult']","[8, 4, 4, 2]",['No awards'],3.61,292,42,76,74,103,30,9
"Liar Game, Volume 1",['Shinobu Kaitani'],(Liar Game #1),Unknown,2005,"['Sequential Art-Manga', 'Mystery', 'Sequential Art-Comics', 'Thriller', 'Sequential Art-Graphic Novels']","[239, 27, 27, 16, 12]",['No awards'],4.23,2161,106,1069,668,316,78,30
Recut Madness: Favorite Movies Retold for Your Partisan Pleasure,['James Finn Garner'],Standalone,Da Capo Press,2007,"['Literature-American', 'Anthologies']","[1, 1]",['No awards'],2.86,14,1,3,2,2,4,3
"Girl Friends [ガールフレンズ], Volume 1","['Milk Morinaga', ' 森永 みるく']",(Girl Friends #1),Futabasha,2007,"['Sequential Art-Manga', 'Manga-Yuri', 'LGBT', 'Romance', 'Sequential Art-Comics']","[192, 30, 25, 21, 10]",['No awards'],4.16,881,42,405,275,154,35,12
The Three Deaths of Magdalene Lynton,['Katherine Hayton'],(Ngaire Blakes #1),Katherine Hayton,2016,"['Mystery', 'Fiction', 'Thriller']","[14, 9, 8]",['No awards'],3.84,601,77,159,235,165,33,9
When We People the Land,['Wendy M. Wilson'],(Sergeant Frank Hardy #2),Three Book Deal,2018,"['Historical', 'Thriller']","[2, 1]",['No awards'],4.0,37,3,14,12,8,3,0
One Thousand White Women: The Journals of May Dodd,['Jim Fergus'],(One Thousand White Women #1),St. Martin's Griffin,1998,"['Historical-Historical Fiction', 'Fiction', 'Historical', 'Book Club']","[1800, 786, 264, 188]",['No awards'],3.89,111977,8691,36896,39823,24140,7738,3380
"NERDS: National Espionage, Rescue, and Defense Society","['Michael Buckley', ' Ethen Beavers']",(NERDS #1),Amulet Abrams,2009,"['Adventure', 'Humor', 'Fiction', 'Science Fiction', 'Childrens-Middle Grade', 'Pop Culture-Nerd']","[72, 68, 51, 48, 48, 37]","['Nene Award (2011)', "" Iowa Children's Choice Award Nominee (2012)"", ' Washington State Sasquatch Award (2012)']",3.92,8121,694,3179,2322,1720,558,342
Seasons With And Without Love (Only The Strong Can Survive),['Aleja Bennett'],Standalone,Create Space,2010,['No genre'],[0],['No awards'],5.0,2,0,2,0,0,0,0
The Tin Roof Blowdown,['James Lee Burke'],(Dave Robicheaux #16),Simon & Schuster,2007,"['Mystery', 'Fiction', 'Mystery-Crime', 'Thriller']","[218, 128, 81, 42]",['Anthony Award Nominee for Best Novel (2008)'],4.17,13194,854,5543,5068,2034,389,160
Une saison au Congo,['Aimé Césaire'],Standalone,Seuil / Points,1966,"['Plays', 'Cultural-Africa', 'Drama', 'Classics', 'Literature-African Literature', 'Plays-Theatre']","[12, 6, 6, 4, 4, 3]",['No awards'],3.52,171,18,30,64,50,19,8
The Hunt for Sandringham,['Richard McDowall'],(RJ & Sandringham #3),Inter Technologies Limited,2014,['Mystery'],[1],['No awards'],4.16,19,8,9,7,1,1,1
The Seven Minutes,['Irving Wallace'],Standalone,Pocket,1969,"['Fiction', 'Romance']","[42, 4]",['No awards'],3.82,1315,71,349,499,365,82,20
Secrets She Left Behind,['Diane Chamberlain'],(Before The Storm #2),Mira,2009,"['Fiction', 'Womens Fiction-Chick Lit', 'Mystery', 'Drama']","[79, 31, 21, 19]",['No awards'],4.04,10055,629,3360,4244,2047,316,88
50 فكرة يجب أن تعرفها عن الأفكار العظيمة,['Ben Dupré'],(50 Ideas You Really Need to Know ),Unknown,2009,"['Philosophy', 'Nonfiction', 'Science', 'Reference']","[35, 31, 13, 12]",['No awards'],3.64,384,26,82,141,113,35,13
Love You Hate You Miss You,['Elizabeth Scott'],Standalone,HarperTeen,2009,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Realistic Fiction']","[266, 85, 67, 50, 48]",['No awards'],3.76,7730,530,2319,2385,2129,674,223
Gazing Into the Eternal,['Belzebuub'],Standalone,Absolute Publishing LLC,2010,"['Spirituality', 'Religion']","[4, 2]",['No awards'],4.58,69,25,56,6,2,1,4
Mar Morto,['Jorge Amado'],Standalone,Mem Martins,1936,['Fiction'],[23],['No awards'],3.99,1717,64,597,643,363,87,27
The Confessions of Aleister Crowley: An Autohagiography,"['Aleister Crowley', ' Kenneth Grant', ' John Symonds']",Standalone,Penguin Books,1969,"['Biography', 'Occult', 'Philosophy-Thelema', 'Nonfiction', 'Biography-Autobiography']","[35, 27, 14, 11, 11]",['No awards'],3.98,710,42,270,238,141,40,21
The Old Life Is Dead...L'Ancienne Vie Est Morte...: Poems in English and in French/Poemes En Anglais Et En Frana Ais,['Xenia Bakran-Sunic'],Standalone,Authorhouse,2008,['No genre'],[0],['No awards'],4.5,2,0,1,1,0,0,0
The Ground Beneath Her Feet,['Salman Rushdie'],Standalone,Picador,1999,"['Fiction', 'Magical Realism', 'Cultural-India', 'Literature', 'Music', 'Novels', 'Literary Fiction', 'Romance', 'Contemporary', 'Fantasy']","[401, 90, 86, 39, 31, 27, 25, 23, 23, 16]","[""Commonwealth Writers' Prize for Best Book in South Asia and Europe (2000)""]",3.79,10709,599,3049,3798,2703,874,285
If I Tell,['Janet Gurtler'],Standalone,Sourcebooks Fire,2011,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Realistic Fiction', 'Young Adult-High School', 'Family', 'Young Adult-Teen', 'Young Adult-Young Adult Contemporary', 'Womens Fiction-Chick Lit']","[69, 40, 19, 11, 10, 8, 6, 5, 4, 4]",['No awards'],3.67,1623,234,464,450,475,171,63
Menalar Tuhan,['Franz Magnis-Suseno'],Standalone,Kanisius,2006,"['Philosophy', 'Nonfiction', 'Asian Literature-Indonesian Literature']","[14, 4, 3]",['No awards'],3.94,216,16,78,74,46,10,8
"Bar Nights (The Mire Man Trilogy, #1)",['Dave Matthes'],Standalone,CreateSpace,2015,['Fiction'],[1],['No awards'],4.36,14,4,9,3,1,0,1
The Rebellion of Jane Clarke,['Sally Cabot Gunning'],(Satucket #3),William Morrow,2010,"['Historical-Historical Fiction', 'Fiction', 'Historical', 'Literature-18th Century']","[143, 38, 23, 10]",['No awards'],3.75,1596,268,339,673,452,108,24
ميلاد مجتمع,"['مالك بن نبي', ' عبد الصبور شاهين']",(مشكلات الحضارة),دار الإنشاء للطباعة والنشر,1974,['Sociology'],[4],['No awards'],4.02,511,89,188,186,106,19,12
Operation Redwood,['S. Terrell French'],Standalone,Harry N. Abrams,2009,"['Realistic Fiction', 'Childrens-Middle Grade', 'Young Adult', 'Fiction', 'Childrens']","[19, 18, 10, 8, 7]","['John and Patricia Beatty Award (2010)', ' Green Prize for Sustainable Literature']",4.08,770,154,292,308,123,35,12
The Hackers Code: The Great Prison Escape Project And Ways to Fly High in Life,['A.K. Mars'],Standalone,A. K. MARS,2017,['No genre'],[0],['No awards'],4.67,3,1,2,1,0,0,0
Search for Senna,['Katherine Applegate'],(Everworld #1),Scholastic Paperbacks,1999,"['Fantasy', 'Young Adult', 'Fantasy-Mythology', 'Fiction']","[392, 197, 73, 50]",['No awards'],3.79,4938,279,1414,1673,1389,346,116
Before the Storm: Soviet Ukrainian Fiction of the 1920s,"['George S.N. Luckyj', ' Yuri Tkacz', ' Mykhailo Ivchenko', ' Yukhum Vukhnal', ' Ostap Vyshnia', ' Borys Antonenko-Davydovych', ' Mykola Khvylovy', ' Yuri Yanovsky', ' Volodymyr Gzhytsky', ' Mike Yohansen', ' V. Domontovych', ' Hryhoriy Epik', ' Geo Shkurupiy', ' Arkadiy Liubchenko', ' Valerian Pidmohylny', ' Oleksa Slisarenko', ' Hryhoriy Kosynka', ' Ivan Senchenko', ' Oles Dosvitny']",Standalone,Ardis Publishers,1986,['Fiction'],[1],['No awards'],4.0,1,0,0,1,0,0,0
Flüstern des Lichts,['Bianca Iosivoni'],(Soul Mates #1),Ravensburger Verlag,2017,"['Fantasy', 'Young Adult']","[19, 5]",['No awards'],4.16,575,87,230,236,86,18,5
Keela,['L.A. Casey'],(Slater Brothers #2.5),L.A. Casey,2015,"['Romance', 'New Adult', 'Romance-Contemporary Romance', 'Contemporary']","[71, 55, 32, 25]",['No awards'],4.2,6655,288,3162,2035,1141,251,66
Wasteland,['Francesca Lia Block'],Standalone,HarperTeen,2003,"['Young Adult', 'Fiction', 'Fantasy', 'Romance', 'Magical Realism', 'Contemporary']","[134, 62, 30, 26, 26, 22]",['No awards'],3.87,3565,219,1260,1042,900,274,89
The Fry Chronicles,['Stephen Fry'],(Memoir #2),Michael Joseph,2010,"['Nonfiction', 'Biography', 'Biography-Autobiography', 'Autobiography-Memoir']","[693, 534, 219, 146]",['Goodreads Choice Award Nominee for Memoir and Autobiography (2010)'],3.88,18084,1109,4926,7622,4289,953,294
"Hellboy, Vol. 6: Strange Places",['Mike Mignola'],(Hellboy #6),Dark Horse Books,2006,"['Sequential Art-Comics', 'Sequential Art-Graphic Novels', 'Horror', 'Fantasy', 'Fiction', 'Comics-Comic Book']","[403, 308, 122, 109, 56, 34]",['No awards'],4.29,5566,180,2601,2104,746,93,22
Gengis Khan Conquerant du monde,['René Grousset'],Standalone,Albin Michel,1944,"['History', 'Nonfiction', 'Cultural-Asia']","[9, 2, 2]",['No awards'],3.96,55,7,17,23,11,4,0
قوس قزح,"['أحمد خالد توفيق', ' تامر إبراهيم']",Standalone,دار ليلى,2005,"['Short Stories', 'Horror']","[17, 13]",['No awards'],3.42,2620,283,425,786,964,342,103
Algo más que vecinos,['Isabel Keats'],Standalone,Unknown,2012,"['Romance', 'Womens Fiction-Chick Lit', 'Romance-Erotic Romance', 'European Literature-Spanish Literature']","[17, 7, 3, 3]",['No awards'],3.53,1618,138,360,498,488,187,85
Tournament Crisis,"['Clair Bee', ' Cynthia Bee Farley', ' Randall K. Farley']",(Chip Hilton #14),B&H Publishing Group,1957,['Sports-Sports'],[4],['No awards'],4.43,47,4,27,13,7,0,0
The Bride Collector,['Ted Dekker'],Standalone,Hodder & Stoughton,2009,"['Christian', 'Thriller', 'Thriller-Mystery Thriller', 'Audiobook', 'Christian Fiction', 'Fiction', 'Mystery', 'Adult Fiction', 'Mystery-Detective', 'Contemporary']","[58, 25, 24, 21, 15, 15, 15, 13, 12, 11]",['Christy Award Nominee for Suspense (2011)'],3.84,10497,1081,3222,3741,2485,769,280
The Rhesus Chart,['Charles Stross'],(Laundry Files #5),Orbit,2014,"['Fantasy', 'Horror', 'Science Fiction', 'Fantasy-Urban Fantasy', 'Fiction']","[178, 163, 132, 127, 100]",['Goodreads Choice Award Nominee for Horror (2014)'],4.18,7761,497,2888,3570,1138,131,34
A Bit of Rough,['Lucy Felthouse'],Standalone,Tirgearr Publishing,2011,"['Adult Fiction-Erotica', 'Short Stories', 'Novella']","[10, 2, 2]",['No awards'],3.47,66,17,14,15,28,6,3
El niño malo cuenta hasta cien y se retira,['Juan Carlos Chirinos'],Standalone,Ediciones Escalera,2004,['No genre'],[0],['No awards'],3.11,9,2,2,0,5,1,1
تاسو,"['Johann Wolfgang von Goethe', ' يوهان فولفغانغ فون غوته', ' عبد الغفار مكاوي']",Standalone,المركز القومي للترجمة,1790,"['Plays', 'Classics', 'European Literature-German Literature', 'Drama', 'Fiction']","[21, 19, 10, 10, 6]",['No awards'],3.27,408,33,57,112,151,62,26
Whistling In the Dark,['Lesley Kagen'],Standalone,Berkley Books,2007,"['Fiction', 'Mystery', 'Historical-Historical Fiction', 'Young Adult-Coming Of Age', 'Book Club', 'Adult Fiction', 'Suspense', 'Thriller-Mystery Thriller', 'Young Adult', 'Family']","[156, 86, 52, 32, 20, 19, 15, 14, 12, 12]",['No awards'],3.87,10844,1346,2841,4563,2757,544,139
Straw Dogs: Thoughts on Humans and Other Animals,['John N. Gray'],Standalone,Granta Books,2002,"['Philosophy', 'Nonfiction', 'Psychology', 'Science', 'Politics']","[417, 158, 41, 35, 32]",['No awards'],3.95,3476,347,1285,1193,665,218,115
Divergent Series Box Set,['Veronica Roth'],(Divergent #0.1-3),HarperCollins Children's Books,2014,"['Young Adult', 'Science Fiction-Dystopia', 'Science Fiction', 'Fantasy', 'Romance', 'Fiction', 'Childrens', 'Short Stories', 'Adventure', 'Literature-English Literature']","[25, 21, 15, 9, 8, 8, 4, 4, 4, 2]",['No awards'],4.47,5799,148,3667,1409,555,101,67
Case in Point: Complete Case Interview Preparation,['Marc P. Cosentino'],Standalone,Burgee Press,2001,"['Business', 'Nonfiction', 'Reference']","[77, 19, 11]",['No awards'],3.98,1762,49,583,690,386,68,35
The Horse Healer,['Gonzalo Giner'],Standalone,Open Road Integrated Media,2008,"['Historical-Historical Fiction', 'Historical', 'Fiction', 'Cultural-Spain']","[17, 9, 6, 4]",['No awards'],4.14,1135,110,491,386,194,50,14
The Valkyries,"['Paulo Coelho', ' Alan R. Clarke']",Standalone,HarperTorch (an imprint of HarperCollins Publishers),1988,"['Fiction', 'Spirituality', 'Philosophy']","[292, 72, 60]",['No awards'],3.32,21317,1015,3648,5612,7261,3454,1342
Tilly,['Frank E. Peretti'],Standalone,Crossway Books,1988,"['Christian Fiction', 'Christian', 'Fiction']","[111, 61, 61]",['No awards'],4.05,3542,213,1505,1015,772,194,56
When We Were Very Young,"['A.A. Milne', ' Ernest H. Shepard']",(Winnie-the-Pooh #3),E.P. Dutton,1924,"['Poetry', 'Childrens', 'Classics', 'Fiction']","[599, 384, 301, 149]",['No awards'],4.3,21973,532,11753,6063,3349,623,185
Lisey's Story,['Stephen King'],Standalone,Scribner,2006,"['Horror', 'Fiction', 'Fantasy']","[1662, 720, 264]","['Bram Stoker Award for Best Novel (2006)', ' Locus Award Nominee for Best Fantasy Novel (2007)', ' World Fantasy Award Nominee for Best Novel (2007)']",3.68,66468,3631,18289,20847,17774,6672,2886
The Ugly Little Boy,"['Isaac Asimov', ' Robert Silverberg']",Standalone,Bantam/Spectra,1991,"['Science Fiction', 'Fiction', 'Science Fiction-Time Travel']","[205, 52, 30]",['No awards'],3.88,2960,138,860,1097,807,165,31
Mapp and Lucia,['E.F. Benson'],(The Mapp & Lucia Novels #4),Black Swan,1912,"['Fiction', 'Humor', 'Classics', 'European Literature-British Literature']","[79, 43, 34, 21]",['No awards'],4.24,2397,217,1163,784,340,76,34
Rain of Gold,['Victor Villaseñor'],Standalone,Delta,1991,"['Fiction', 'Historical-Historical Fiction', 'Magical Realism']","[72, 53, 19]",['No awards'],4.48,6559,690,4212,1579,559,133,76
Strikeforce,['Nick  James'],(Skyship Academy #3),Flux,2013,"['Science Fiction', 'Young Adult', 'Science Fiction-Dystopia', 'Science Fiction-Steampunk']","[9, 6, 5, 4]",['No awards'],4.05,189,19,70,68,43,6,2
The Trouble with Spells,['Lacey Weatherford'],(Of Witches and Warlocks #1),Global Authors Publications,2009,"['Fantasy-Paranormal', 'Young Adult', 'Fantasy', 'Paranormal-Witches', 'Romance', 'Romance-Paranormal Romance']","[128, 116, 79, 69, 65, 51]",['No awards'],3.86,4670,402,1682,1432,989,368,199
Zoe the Earless Kitten: Zoe Meets the Family,"['Melissa Webb', ' Lexy Webb']",(Zoe The Earless Kitten #2),Xlibris,2011,['No genre'],[0],['No awards'],5.0,1,0,1,0,0,0,0
In Her Sights,['Katie Ruggle'],(Rocky Mountain Bounty Hunters #1),Sourcebooks Casablanca,2019,"['Romance', 'Romance-Romantic Suspense', 'Suspense', 'Contemporary', 'Romance-Contemporary Romance']","[41, 39, 18, 16, 13]",['No awards'],3.93,820,179,235,347,192,37,9
"Bone, Vol. 2: The Great Cow Race","['Jeff Smith', ' Steve Hamaker']",(Bone (Delcourt noir et blanc) #2),Graphix,1993,"['Sequential Art-Graphic Novels', 'Sequential Art-Comics', 'Fantasy', 'Fiction', 'Young Adult']","[656, 427, 340, 109, 70]",['No awards'],4.27,14037,799,6950,4493,2173,329,92
I and Thou,"['Martin Buber', ' Walter Kaufmann']",Standalone,Charles Scribner's Sons (NY),1923,"['Philosophy', 'Religion', 'Nonfiction', 'Religion-Theology', 'Spirituality', 'Religion-Judaism']","[730, 192, 150, 133, 86, 65]",['No awards'],4.11,9185,406,4121,2790,1611,476,187
Perang Pasifik,['P.K. Ojong'],Standalone,Penerbit Buku Kompas,1957,"['History', 'Nonfiction', 'Asian Literature-Indonesian Literature', 'War-Military Fiction']","[18, 6, 3, 2]",['No awards'],4.13,272,25,115,97,45,10,5
Rock Chick Redemption,['Kristen Ashley'],(Rock Chick #3),Createspace Independent Publishing Platform,2010,"['Romance', 'Romance-Contemporary Romance', 'Contemporary', 'Humor', 'Romance-Romantic Suspense', 'Womens Fiction-Chick Lit', 'Adult', 'Suspense', 'Action', 'Fiction']","[724, 332, 287, 154, 135, 103, 90, 88, 49, 43]",['No awards'],4.42,32664,1771,18210,10627,3252,434,141
A Fine and Private Place,['Peter S. Beagle'],Standalone,Roc,1960,"['Fantasy', 'Fiction', 'Paranormal-Ghosts', 'Romance', 'Fantasy-Paranormal', 'Classics']","[421, 119, 40, 39, 25, 18]",['No awards'],3.99,3503,363,1178,1358,770,153,44
The Reluctant Duchess,['Roseanna M. White'],(Ladies of the Manor #2),Bethany House Publishers/Baker Publishing Group,2016,"['Historical-Historical Fiction', 'Romance', 'Christian Fiction', 'Christian', 'Historical', 'Romance-Historical Romance', 'Fiction']","[93, 75, 70, 38, 37, 22, 21]",['No awards'],4.15,2421,418,1017,882,416,79,27
The Journey Of An Artist,"['Kimberley Mast', ' Kristian Kjul Pedersen', ' Fenna Quarré', ' Maria Johansen', ' Joost Ykema', ' Lucas Valentin Petersen']",Standalone,"TECHCOLLEGE, Aalborg, Denmark",2018,['No genre'],[0],['No awards'],5.0,3,0,3,0,0,0,0
E Pluribus Unicorn,['Theodore Sturgeon'],Standalone,Pocket Books,1953,"['Science Fiction', 'Fantasy', 'Short Stories', 'Fiction']","[58, 40, 34, 18]","['Retro Hugo Award Nominee for Best Short Story for ""A Saucer of Loneliness"" (2004)']",4.03,808,47,283,308,180,32,5
Les Disparus du Clairdelune,['Christelle Dabos'],(La Passe-Miroir #2),Gallimard,2015,"['Fantasy', 'Young Adult', 'Cultural-France', 'Fiction', 'Romance', 'Young Adult-Young Adult Fantasy', 'Fantasy-Magic', 'Roman', 'Science Fiction-Steampunk', 'Fantasy-High Fantasy']","[760, 188, 44, 42, 25, 20, 18, 14, 13, 12]","[""Grand Prix de l'Imaginaire for Roman francophone pour la jeunesse (2016)""]",4.56,13813,1532,8924,3922,823,121,23
Comedy Wildlife Photography Awards,['Paul Joynson-Hicks'],Standalone,535,2017,"['Art-Photography', 'Humor', 'Animals', 'Nonfiction']","[6, 4, 3, 3]",['No awards'],3.94,49,7,16,15,17,1,0
The Golden Globe,"['Nancy Richardson Fischer', ' Nancy Richardson']",(Star Wars: Junior Jedi Knights #1),Berkley,1995,"['Media Tie In-Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Childrens']","[173, 32, 14, 8, 8]",['No awards'],3.83,880,31,339,188,235,102,16
The Sky So Heavy,['Claire Zorn'],Standalone,University of Queensland Press,2013,"['Young Adult', 'Science Fiction-Dystopia', 'Apocalyptic-Post Apocalyptic', 'Science Fiction']","[68, 41, 24, 21]","[""Children's Book Council of Australia Award Nominee for Older Readers (2014)"", ' Aurealis Award Nominee for Best Young Adult Novel (2013)', ' The Inky Awards Nominee for Gold Inky (2014)', ' The Inky Awards Shortlist for Gold Inky (2014)']",3.96,1536,267,526,581,309,84,36
SS-GB,['Len Deighton'],Standalone,Ballantine Books,1979,"['Fiction', 'Science Fiction-Alternate History', 'Historical-Historical Fiction', 'Thriller', 'War', 'Mystery', 'Spy Thriller-Espionage']","[153, 101, 88, 72, 39, 37, 36]",['No awards'],3.75,6104,367,1314,2484,1833,392,81
Curiosity Killed the Cat Sitter,['Blaize Clement'],(A Dixie Hemingway Mystery #1),Minotaur Books,2005,"['Mystery', 'Mystery-Cozy Mystery', 'Fiction', 'Animals']","[198, 82, 26, 25]",['No awards'],3.86,2617,315,753,981,708,126,49
Kindred Bond,['Deborah Raney'],Standalone,Bethany House Publishers,1998,"['Romance', 'Christian Fiction', 'Fiction']","[5, 5, 2]",['No awards'],4.32,470,40,252,141,58,12,7
কাকাবাবু সমগ্র ২,['Sunil Gangopadhyay'],( সন্তু-কাকাবাবু #7-12),আনন্দ পাবলিশার্স প্রাইভেট লিমিটেড,1993,"['Adventure', 'Thriller', 'Fiction']","[11, 7, 3]",['No awards'],4.17,682,8,270,294,91,20,7
Darth Plagueis,['James Luceno'],(Star Wars Legends),Del Rey,2012,"['Media Tie In-Star Wars', 'Science Fiction', 'Fiction', 'Fantasy']","[1528, 378, 206, 109]",['Goodreads Choice Award Nominee for Science Fiction (2012)'],4.1,17836,1740,7042,6642,3287,695,170
The Death of the Heart,['Elizabeth Bowen'],Standalone,Anchor Books,1938,"['Fiction', 'Classics', 'Romance', 'Literature-20th Century']","[380, 323, 57, 39]",['No awards'],3.69,6481,504,1673,2187,1781,608,232
The Lions of Little Rock,['Kristin Levine'],Standalone,G.P. Putnam's Sons Books for Young Readers,2012,"['Historical-Historical Fiction', 'Young Adult', 'Childrens-Middle Grade', 'Historical']","[715, 189, 173, 110]","[""Pennsylvania Young Readers' Choice Award Nominee for Grades 6-8 (2014)"", ' New Mexico Land of Enchantment Award for Young Adult (2015)', "" Rebecca Caudill Young Readers' Book Award Nominee (2014)""]",4.25,17369,2035,8512,5859,2140,509,349
Afternoon on the Amazon,"['Mary Pope Osborne', ' Salvatore Murdocca']",(Magic Tree House #6),"Random House, Inc.",1995,"['Childrens', 'Fantasy', 'Fiction', 'Childrens-Chapter Books']","[188, 166, 114, 76]",['No awards'],3.94,13522,413,5162,3770,3496,806,288
The Midnight Circus,['Peter Collington'],Standalone,Knopf Books for Young Readers,1992,"['Childrens-Picture Books', 'Fantasy', 'Childrens', 'Sequential Art-Graphic Novels']","[6, 2, 2, 1]",['No awards'],3.76,75,9,25,21,19,6,4
Forever Amber,['Kathleen Winsor'],Standalone,Penguin,1944,"['Historical-Historical Fiction', 'Fiction', 'Romance', 'Historical', 'Classics', 'Romance-Historical Romance', 'European Literature-British Literature']","[739, 215, 207, 161, 153, 77, 53]",['No awards'],3.99,16423,1076,6395,5225,3395,1026,382
Nails,['D.M. Samson'],Standalone,Unknown,2008,['New Adult'],[1],['No awards'],4.93,14,1,13,1,0,0,0
Façade,['Nyrae Dawn'],(Games #2),Forever,2013,"['New Adult', 'Romance', 'Contemporary', 'Romance-Contemporary Romance']","[326, 207, 101, 55]",['No awards'],4.06,9846,859,3701,3744,1866,408,127
Sharpe's Eagle,['Bernard Cornwell'],(Sharpe #8),Signet,1981,"['Historical-Historical Fiction', 'Fiction', 'Historical', 'War', 'Adventure']","[682, 202, 118, 63, 49]",['No awards'],4.26,11643,298,5007,4851,1641,123,21
True Spirituality: How to Live for Jesus Moment by Moment,['Francis A. Schaeffer'],Standalone,Tyndale House Publishers,1971,"['Christian', 'Religion-Theology', 'Religion-Christianity', 'Christian-Christian Living', 'Spirituality', 'Nonfiction', 'Religion']","[67, 59, 45, 33, 24, 24, 21]",['No awards'],4.25,1892,130,914,627,276,54,21
The Guernsey Literary and Potato Peel Pie Society,"['Mary Ann Shaffer', ' Annie Barrows']",Standalone,Dial Press,2008,"['Historical-Historical Fiction', 'Fiction', 'Historical', 'Romance', 'War-World War II']","[8232, 5997, 1563, 1310, 917]","['Indies Choice Book Award for Best Indie Buzz Book (Fiction) (2009)', ' LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']",4.17,590587,52957,257331,213710,89151,21423,8972
Progeny,['Patrick C. Greene'],Standalone,"Hobbes End Publishing, LLC",2012,"['Horror', 'Young Adult', 'Fantasy-Paranormal', 'Mystery', 'Fantasy']","[39, 10, 9, 9, 7]",['No awards'],3.72,372,64,100,125,101,35,11
The Kindled Flame,"['Sally Laity', ' Dianna Crawford']",(Freedoms Holy Light #2),Tyndale House Publishers,1994,"['Christian Fiction', 'Historical-Historical Fiction', 'Romance', 'Historical', 'Christian']","[3, 2, 2, 2, 2]",['No awards'],4.11,72,5,31,23,14,3,1
The Last Days of Lorien,['Pittacus Lore'],(Lorien Legacies: The Lost Files #5),HarperCollins,2013,"['Young Adult', 'Science Fiction', 'Fantasy', 'Science Fiction-Aliens', 'Fiction', 'Novella', 'Short Stories', 'Adventure', 'Young Adult-Teen', 'Fantasy-Paranormal']","[119, 81, 63, 44, 29, 24, 21, 14, 12, 8]",['No awards'],4.18,6577,286,2869,2334,1133,198,43
The Lavender Keeper,['Fiona McIntosh'],(Luc & Lisette #1),Not Avail,2012,"['Historical-Historical Fiction', 'Romance', 'Historical', 'War', 'War-World War II', 'Fiction']","[65, 18, 16, 12, 11, 10]",['No awards'],4.12,3135,260,1249,1198,538,102,48
To The Sargasso Sea,['William McPherson'],Standalone,Washington Square Press,1987,['Fiction'],[2],['No awards'],3.54,13,1,3,6,1,1,2
